f,w,diff,int,diff-int
32,201.062,-36.433,-0.001,-36.439
64,402.124,-30.416,-0.004,-30.439
128,804.248,-24.407,-0.016,-24.500
256,1608.495,-18.433,-0.063,-18.793
512,3216.991,-12.596,-0.246,-13.845
1024,6433.982,-7.238,-0.909,-10.617
2048,12867.964,-3.167,-2.859,-9.545
4096,25735.927,-1.033,-6.745,-10.412
8192,51471.854,-0.282,-12.015,-13.418
16384,102943.708,-0.072,-17.825,-18.237
32768,205887.416,-0.018,-23.792,-23.900
65536,411774.832,-0.005,-29.799,-29.826
131072,823549.665,-0.001,-35.816,-35.823
200000,1256637.061,-0.0005,-39.486,-39.489
