u_in,u_out,k,u_out_t,k_t
-6.3,14,1.943396226,14.44,2
-5.77,12.97,1.936170213,13.38,2
-5.3,12.06,1.905660377,12.44,2
-4.77,11.05,1.943396226,11.38,2
-4.24,10.02,1.93877551,10.32,2
-3.75,9.07,1.928571429,9.34,2
-3.19,7.99,1.9375,8.22,2
-2.71,7.06,2,7.26,2
-2.22,6.08,1.892857143,6.28,2
-1.66,5.02,1.980952381,5.16,2
-1.135,3.98,1.961206897,4.11,2
-0.671,3.07,2.108843537,3.182,2
-0.23,2.14,9.304347826,2.3,10
-0.172,1.76,10.23255814,1.72,10
-0.099,1.024,10.34343434,0.99,10
-0.032,0.354,11.0625,0.32,10
0.074,-0.668,9.027027027,-0.74,10
0.11,-1.019,9.263636364,-1.1,10
0.163,-1.532,9.398773006,-1.63,10
0.22,-2.11,9.590909091,-2.2,10
0.93,-3,0.943396226,-2.91,1
1.99,-4,0.92173913,-3.97,1
3.14,-5.06,0.904761905,-5.12,1
4.19,-6.01,0.917431193,-6.17,1
5.28,-7.01,0.910714286,-7.26,1
6.4,-8.03,0.909090909,-8.38,1
7.5,-9.03,0.907407407,-9.48,1
8.58,-10.01,0.90990991,-10.56,1
9.69,-11.02,0.899082569,-11.67,1
10.78,-12,0.90990991,-12.76,1
11.89,-13.01,0.925373134,-13.87,1
12.56,-13.63,1.085191083,-14.54,1
